Plato/Ingrediente,Calorías (kcal),Carbohidratos (g),Grasas insaturadas (g),Proteínas (g),Azúcares (g)
Ensalada mixta,120,6,8,2,3
Gazpacho andaluz,70,10,3,2,5
Paella de marisco,250,30,8,12,2
Lentejas estofadas,230,35,6,12,4
Cocido madrileño,350,25,12,22,3
Fabada asturiana,360,30,14,20,2
Pasta boloñesa,310,40,10,15,6
Pizza margarita,280,33,9,12,4
Tortilla de patata,200,15,7,9,1
Pollo al horno con verduras,220,10,8,25,3
Salmón a la plancha,250,0,14,26,0
Bacalao al pil pil,280,2,16,24,0
Albóndigas en salsa de tomate,240,12,9,18,4
Empanada gallega,300,35,10,9,2
Bocadillo de jamón serrano,330,40,7,18,3
Jamón serrano,240,0,10,31,0
Queso manchego,190,1,10,12,0
Gazpachuelo malagueño,290,18,14,16,2
Pulpo a la gallega,160,4,6,20,1
Mejillones al vapor,170,7,5,24,0
Gambas a la plancha,110,1,2,23,0
Sardinas asadas,220,0,13,25,0
Sepia a la plancha,180,1,4,32,0
Huevos rotos con jamón,280,18,12,16,1
Arroz a la cubana,320,55,7,8,8
Croquetas de pollo,260,28,12,10,2
Calamares a la romana,280,25,14,15,1
Ensaladilla rusa,240,18,12,8,2
Sopas de ajo,190,22,7,8,2
Pisto manchego,140,12,8,3,5
Ratatouille,130,10,6,3,4
Pollo tikka masala,300,15,13,28,4
Sushi variado,240,35,5,12,3
Shawarma de pollo,320,40,12,18,4
Hummus,160,14,8,8,0
Falafel,300,26,15,12,2
Couscous con verduras,230,38,6,8,4
Tabulé,180,30,6,5,2
Burrito de pollo,350,42,12,20,3
Chili con carne,280,22,10,22,3
Hamburguesa casera,320,25,12,22,5
Hot dog,280,28,10,12,3
Sopa de verduras,90,12,3,3,4
Crema de calabaza,110,15,4,2,5
Minestrone,130,20,5,4,6
Spaghetti carbonara,340,40,14,16,3
Ravioli rellenos,310,38,12,14,2
Lasagna casera,360,30,15,20,4
Kebab mixto,400,35,18,25,3
Tacos de carne,300,28,10,20,2
